Date_Time,Minute,Status,Min_Class
2020-06-13-23:34:52,34,0,f4
2020-06-13-23:35:45,35,1,f4
2020-06-13-23:39:05,39,0,2020-06-13 23:39:05
2020-06-13-23:39:08,39,1,2020-06-13 23:39:08
2020-06-13-23:44:37,44,0,f5
2020-06-13-23:44:57,44,0,f5
2020-06-13-23:44:57,44,0,f5
2020-06-13-23:48:13,48,1,f5
2020-06-13-23:48:13,48,1,f5
2020-06-13-23:48:55,48,1,f5
2020-06-13-23:51:33,51,0,f6
2020-06-13-23:54:45,54,1,f6
2020-06-13-23:56:46,56,0,f6
2020-06-14-00:00:38,0,1,f1
2020-06-14-00:03:19,3,0,f1
2020-06-14-00:14:20,14,0,f2
2020-06-14-00:16:35,16,0,f2
2020-06-14-00:18:20,18,1,f2
2020-06-14-00:20:00,20,0,f3
2020-06-14-00:20:25,20,1,f3
2020-06-14-00:31:29,31,1,f4
2020-06-14-00:31:45,31,0,f4
2020-06-14-00:32:53,32,0,f4
2020-06-14-00:32:56,32,1,f4
2020-06-14-00:33:13,33,0,f4
2020-06-14-00:33:23,33,1,f4
2020-06-14-00:35:23,35,0,f4
2020-06-14-00:35:33,35,1,f4
2020-06-14-00:35:49,35,0,f4
2020-06-14-00:38:14,38,0,f4
2020-06-14-00:45:36,45,1,f5
2020-06-14-00:49:55,49,1,2020-06-14 00:49:55
2020-06-14-01:00:36,0,0,f1
2020-06-14-01:02:20,2,1,f1
2020-06-14-01:03:21,3,0,f1
2020-06-14-01:06:24,6,0,f1
2020-06-14-01:09:19,9,1,2020-06-14 01:09:19
2020-06-14-01:09:37,9,1,2020-06-14 01:09:37
2020-06-14-01:11:19,11,0,f2
2020-06-14-01:12:59,12,0,f2
2020-06-14-01:13:04,13,1,f2
2020-06-14-01:25:04,25,1,f3
2020-06-14-01:25:28,25,0,f3
2020-06-14-01:27:28,27,1,f3
2020-06-14-01:29:28,29,0,2020-06-14 01:29:28
2020-06-14-01:37:37,37,0,f4
2020-06-14-01:37:42,37,1,f4
2020-06-14-01:45:57,45,0,f5
2020-06-14-01:46:02,46,1,f5
2020-06-14-02:19:23,19,1,2020-06-14 02:19:23
2020-06-14-02:25:17,25,1,f3
2020-06-14-02:27:58,27,0,f3
2020-06-14-02:35:39,35,1,f4
2020-06-14-02:37:39,37,0,f4
2020-06-14-02:44:05,44,0,f5
2020-06-14-02:44:11,44,1,f5
2020-06-14-03:03:13,3,0,f1
2020-06-14-03:20:12,20,1,f3
2020-06-14-03:22:12,22,0,f3
2020-06-14-03:47:46,47,1,f5
2020-06-14-03:50:54,50,1,f6
2020-06-14-03:52:43,52,0,f6
2020-06-14-03:54:17,54,0,f6
2020-06-14-04:04:53,4,0,f1
2020-06-14-04:04:58,4,1,f1
