Date_Time,Minute,Status,Min_Class
49428,2020-07-01-12:40:24,40,0,f5
49429,2020-07-01-12:40:25,40,0,f5
49430,2020-07-01-12:40:25,40,0,f5
49431,2020-07-01-12:40:26,40,1,f5
49432,2020-07-01-12:40:26,40,1,f5
49433,2020-07-01-12:40:27,40,0,f5
49434,2020-07-01-12:40:27,40,1,f5
49435,2020-07-01-12:40:28,40,0,f5
49436,2020-07-01-12:40:28,40,0,f5
49437,2020-07-01-12:40:29,40,1,f5
49438,2020-07-01-12:40:29,40,1,f5
49439,2020-07-01-12:40:30,40,1,f5
49440,2020-07-01-12:40:30,40,1,f5
49441,2020-07-01-12:40:31,40,1,f5
49442,2020-07-01-12:40:31,40,1,f5
49443,2020-07-01-12:40:32,40,1,f5
49444,2020-07-01-12:40:32,40,0,f5
49445,2020-07-01-12:40:33,40,1,f5
49446,2020-07-01-12:40:33,40,1,f5
49447,2020-07-01-12:40:34,40,1,f5
49448,2020-07-01-12:40:34,40,1,f5
49449,2020-07-01-12:40:35,40,1,f5
49450,2020-07-01-12:40:35,40,0,f5
49451,2020-07-01-12:40:36,40,1,f5
49452,2020-07-01-12:40:36,40,0,f5
49453,2020-07-01-12:40:37,40,0,f5
49454,2020-07-01-12:40:40,40,1,f5
49455,2020-07-01-12:40:41,40,1,f5
49456,2020-07-01-12:40:42,40,1,f5
49457,2020-07-01-12:40:43,40,0,f5
49458,2020-07-01-12:40:44,40,1,f5
49459,2020-07-01-12:40:45,40,0,f5
49460,2020-07-01-12:40:48,40,0,f5
49461,2020-07-01-12:40:48,40,0,f5
49462,2020-07-01-12:40:50,40,1,f5
49463,2020-07-01-12:40:50,40,1,f5
49464,2020-07-01-12:40:53,40,1,f5
49465,2020-07-01-12:40:54,40,1,f5
49466,2020-07-01-12:40:56,40,0,f5
49467,2020-07-01-12:40:57,40,1,f5
49468,2020-07-01-12:40:58,40,1,f5
49469,2020-07-01-12:40:59,40,1,f5
49470,2020-07-01-12:40:59,40,1,f5
49471,2020-07-01-12:41:01,41,1,f5
49472,2020-07-01-12:41:02,41,0,f5
49473,2020-07-01-12:41:03,41,1,f5
49474,2020-07-01-12:41:04,41,0,f5
49475,2020-07-01-12:41:04,41,0,f5
49476,2020-07-01-12:41:05,41,1,f5
49477,2020-07-01-12:41:05,41,0,f5
